"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","30,656,350","±47,866","(X)","(X)","15,699,747","±30,705","(X)","(X)","14,956,603","±26,503","(X)","(X)"
"        Less than high school graduate","3,839,148","±37,376","12.5%","±0.1","2,235,271","±28,109","14.2%","±0.2","1,603,877","±23,062","10.7%","±0.2"
"        High school graduate (includes equivalency)","9,816,791","±55,794","32.0%","±0.2","5,482,696","±38,557","34.9%","±0.2","4,334,095","±29,277","29.0%","±0.2"
"        Some college or associate's degree","13,454,481","±56,660","43.9%","±0.2","6,481,683","±35,459","41.3%","±0.2","6,972,798","±37,904","46.6%","±0.2"
"        Bachelor's degree or higher","3,545,930","±34,690","11.6%","±0.1","1,500,097","±21,903","9.6%","±0.1","2,045,833","±26,856","13.7%","±0.2"
"    Population 25 years and over","223,158,847","±77,521","(X)","(X)","107,879,122","±44,120","(X)","(X)","115,279,725","±40,932","(X)","(X)"
"        Less than 9th grade","11,083,738","±71,025","5.0%","±0.1","5,485,886","±44,755","5.1%","±0.1","5,597,852","±41,501","4.9%","±0.1"
"        9th to 12th grade, no diploma","14,960,425","±86,317","6.7%","±0.1","7,817,988","±52,668","7.2%","±0.1","7,142,437","±55,707","6.2%","±0.1"
"        High school graduate (includes equivalency)","59,961,893","±149,058","26.9%","±0.1","30,176,064","±89,627","28.0%","±0.1","29,785,829","±91,662","25.8%","±0.1"
"        Some college, no degree","45,224,654","±93,907","20.3%","±0.1","21,678,168","±66,914","20.1%","±0.1","23,546,486","±70,346","20.4%","±0.1"
"        Associate's degree","19,177,676","±69,337","8.6%","±0.1","8,311,544","±51,773","7.7%","±0.1","10,866,132","±49,397","9.4%","±0.1"
"        Bachelor's degree","44,599,186","±140,757","20.0%","±0.1","21,103,379","±80,676","19.6%","±0.1","23,495,807","±87,450","20.4%","±0.1"
"        Graduate or professional degree","28,151,275","±129,150","12.6%","±0.1","13,306,093","±69,756","12.3%","±0.1","14,845,182","±77,322","12.9%","±0.1"
"        High school graduate or higher","197,114,684","±179,028","88.3%","±0.1","(X)","(X)","87.7%","±0.1","(X)","(X)","88.9%","±0.1"
"        Bachelor's degree or higher","72,750,461","±232,413","32.6%","±0.1","(X)","(X)","31.9%","±0.1","(X)","(X)","33.3%","±0.1"
"    Population 25 to 34 years","45,344,674","±41,488","(X)","(X)","22,980,929","±27,509","(X)","(X)","22,363,745","±22,999","(X)","(X)"
"        High school graduate or higher","41,457,855","±55,888","91.4%","±0.1","20,729,639","±37,970","90.2%","±0.1","20,728,216","±33,213","92.7%","±0.1"
"        Bachelor's degree or higher","16,409,481","±83,224","36.2%","±0.2","7,392,187","±42,390","32.2%","±0.2","9,017,294","±52,475","40.3%","±0.2"
"    Population 35 to 44 years","41,498,453","±35,878","(X)","(X)","20,691,045","±21,922","(X)","(X)","20,807,408","±20,754","(X)","(X)"
"        High school graduate or higher","36,832,678","±57,623","88.8%","±0.1","18,096,485","±38,305","87.5%","±0.1","18,736,193","±32,663","90.0%","±0.1"
"        Bachelor's degree or higher","15,287,851","±71,561","36.8%","±0.2","6,854,808","±42,013","33.1%","±0.2","8,433,043","±43,134","40.5%","±0.2"
"    Population 45 to 64 years","83,892,606","±46,619","(X)","(X)","40,916,250","±28,827","(X)","(X)","42,976,356","±26,990","(X)","(X)"
"        High school graduate or higher","74,195,537","±83,149","88.4%","±0.1","35,768,755","±48,949","87.4%","±0.1","38,426,782","±47,871","89.4%","±0.1"
"        Bachelor's degree or higher","26,271,860","±98,058","31.3%","±0.1","12,442,131","±53,731","30.4%","±0.1","13,829,729","±57,381","32.2%","±0.1"
"    Population 65 years and over","52,423,114","±22,439","(X)","(X)","23,290,898","±12,525","(X)","(X)","29,132,216","±15,024","(X)","(X)"
"        High school graduate or higher","44,628,614","±53,392","85.1%","±0.1","19,980,369","±32,951","85.8%","±0.1","24,648,245","±36,133","84.6%","±0.1"
"        Bachelor's degree or higher","14,781,269","±57,283","28.2%","±0.1","7,720,346","±33,077","33.1%","±0.1","7,060,923","±39,304","24.2%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","166,573,830","±78,361","(X)","(X)","81,102,954","±48,331","(X)","(X)","85,470,876","±43,975","(X)","(X)"
"        High school graduate or higher","150,205,771","±128,949","90.2%","±0.1","72,586,010","±74,261","89.5%","±0.1","77,619,761","±75,350","90.8%","±0.1"
"        Bachelor's degree or higher","56,522,697","±174,506","33.9%","±0.1","27,181,510","±93,682","33.5%","±0.1","29,341,187","±100,697","34.3%","±0.1"
