"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error"
"Population 18 to 24 years","31,554,009","±39,123","16,172,368","±22,179","15,381,641","±23,503"
"Less than high school graduate","13.9%","±0.1","15.9%","±0.1","11.8%","±0.1"
"High school graduate (includes equivalency)","30.2%","±0.1","33.2%","±0.2","27.1%","±0.2"
"Some college or associate's degree","45.8%","±0.2","42.7%","±0.2","49.1%","±0.2"
"Bachelor's degree or higher","10.1%","±0.1","8.2%","±0.1","12.0%","±0.2"
"Population 25 years and over","213,725,624","±64,850","103,101,814","±39,086","110,623,810","±35,175"
"    Less than 9th grade","5.6%","±0.1","5.8%","±0.1","5.5%","±0.1"
"    9th to 12th grade, no diploma","7.5%","±0.1","8.0%","±0.1","7.0%","±0.1"
"    High school graduate (includes equivalency)","27.7%","±0.1","28.5%","±0.1","27.0%","±0.1"
"    Some college, no degree","21.0%","±0.1","20.6%","±0.1","21.3%","±0.1"
"    Associate's degree","8.2%","±0.1","7.2%","±0.1","9.0%","±0.1"
"    Bachelor's degree","18.7%","±0.1","18.5%","±0.1","18.8%","±0.1"
"    Graduate or professional degree","11.4%","±0.1","11.4%","±0.1","11.4%","±0.1"
"Percent high school graduate or higher","86.9%","±0.1","86.2%","±0.1","87.5%","±0.1"
"Percent bachelor's degree or higher","30.1%","±0.1","29.9%","±0.1","30.2%","±0.1"
"Population 25 to 34 years","43,323,099","±33,262","21,836,161","±24,342","21,486,938","±22,047"
"    High school graduate or higher","89.1%","±0.1","87.6%","±0.1","90.7%","±0.1"
"    Bachelor's degree or higher","33.5%","±0.2","29.5%","±0.2","37.5%","±0.2"
"Population 35 to 44 years","40,751,359","±25,707","20,274,781","±16,049","20,476,578","±17,925"
"    High school graduate or higher","87.8%","±0.1","86.4%","±0.1","89.2%","±0.1"
"    Bachelor's degree or higher","33.7%","±0.1","30.9%","±0.1","36.4%","±0.2"
"Population 45 to 64 years","83,436,273","±41,101","40,678,400","±24,812","42,757,873","±24,416"
"    High school graduate or higher","88.1%","±0.1","87.1%","±0.1","89.0%","±0.1"
"    Bachelor's degree or higher","29.4%","±0.1","29.3%","±0.1","29.6%","±0.1"
"Population 65 years and over","46,214,893","±21,066","20,312,472","±12,409","25,902,421","±13,230"
"    High school graduate or higher","81.9%","±0.1","82.9%","±0.1","81.2%","±0.1"
"    Bachelor's degree or higher","24.8%","±0.1","30.6%","±0.1","20.3%","±0.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","",""
"    Less than high school graduate","27.8%","±0.2","23.9%","±0.2","31.8%","±0.2"
"    High school graduate (includes equivalency)","14.7%","±0.1","12.5%","±0.1","16.8%","±0.1"
"    Some college or associate's degree","10.6%","±0.1","8.4%","±0.1","12.5%","±0.1"
"    Bachelor's degree or higher","4.7%","±0.1","4.3%","±0.1","5.0%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Population 25 years and over with earnings","36,129","±45","41,845","±47","30,538","±41"
"        Less than high school graduate","20,542","±72","24,030","±170","15,392","±98"
"        High school graduate (includes equivalency)","27,809","±102","32,600","±217","22,032","±71"
"        Some college or associate's degree","33,175","±142","41,150","±68","27,840","±138"
"        Bachelor's degree","50,450","±78","61,249","±108","41,570","±88"
"        Graduate or professional degree","66,175","±205","82,215","±228","55,702","±209"
"PERCENT IMPUTED","","","","","",""
"    Educational attainment","7.2%","(X)","(X)","(X)","(X)","(X)"
