"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Males!!Estimate","United States!!Males!!Margin of Error","United States!!Percent Males!!Estimate","United States!!Percent Males!!Margin of Error","United States!!Females!!Estimate","United States!!Females!!Margin of Error","United States!!Percent Females!!Estimate","United States!!Percent Females!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"Population 18 to 24 years","31,014,292","±41,672","(X)","(X)","15,916,664","±24,550","(X)","(X)","15,097,628","±24,308","(X)","(X)"
"    Less than high school graduate","4,078,282","±35,766","13.1%","±0.1","2,372,035","±27,727","14.9%","±0.2","1,706,247","±24,953","11.3%","±0.2"
"    High school graduate (includes equivalency)","9,611,552","±49,897","31.0%","±0.2","5,435,902","±36,538","34.2%","±0.2","4,175,650","±30,717","27.7%","±0.2"
"    Some college or associate's degree","13,973,145","±57,195","45.1%","±0.2","6,690,441","±39,350","42.0%","±0.2","7,282,704","±36,958","48.2%","±0.2"
"    Bachelor's degree or higher","3,351,313","±27,267","10.8%","±0.1","1,418,286","±18,702","8.9%","±0.1","1,933,027","±22,258","12.8%","±0.2"
"Population 25 years and over","218,475,480","±68,613","(X)","(X)","105,466,484","±39,224","(X)","(X)","113,008,996","±36,491","(X)","(X)"
"    Less than 9th grade","11,692,904","±70,085","5.4%","±0.1","5,821,490","±44,799","5.5%","±0.1","5,871,414","±39,304","5.2%","±0.1"
"    9th to 12th grade, no diploma","15,719,330","±79,519","7.2%","±0.1","8,195,164","±53,544","7.8%","±0.1","7,524,166","±50,108","6.7%","±0.1"
"    High school graduate (includes equivalency)","59,373,780","±130,713","27.2%","±0.1","29,600,138","±79,025","28.1%","±0.1","29,773,642","±82,087","26.3%","±0.1"
"    Some college, no degree","45,095,348","±96,047","20.6%","±0.1","21,510,669","±66,511","20.4%","±0.1","23,584,679","±61,946","20.9%","±0.1"
"    Associate's degree","18,259,841","±71,604","8.4%","±0.1","7,829,411","±43,602","7.4%","±0.1","10,430,430","±53,347","9.2%","±0.1"
"    Bachelor's degree","42,242,395","±121,833","19.3%","±0.1","20,030,807","±71,560","19.0%","±0.1","22,211,588","±78,480","19.7%","±0.1"
