"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error"
"Population 18 to 24 years","30,895,391","±48,609","15,801,040","±28,416","15,094,351","±28,544"
"Less than high school graduate","16.8%","±0.1","19.5%","±0.2","13.9%","±0.2"
"High school graduate (includes equivalency)","29.4%","±0.1","31.8%","±0.2","26.9%","±0.2"
"Some college or associate's degree","44.6%","±0.2","41.2%","±0.2","48.2%","±0.3"
"Bachelor's degree or higher","9.2%","±0.1","7.4%","±0.1","11.0%","±0.2"
"Population 25 years and over","204,288,933","±73,003","98,304,845","±39,242","105,984,088","±42,285"
"Less than 9th grade","6.1%","±0.1","6.3%","±0.1","5.9%","±0.1"
"9th to 12th grade, no diploma","8.3%","±0.1","8.9%","±0.1","7.8%","±0.1"
"High school graduate (includes equivalency)","28.5%","±0.1","28.8%","±0.1","28.2%","±0.1"
"Some college, no degree","21.3%","±0.1","20.8%","±0.1","21.7%","±0.1"
"Associate's degree","7.6%","±0.1","6.8%","±0.1","8.4%","±0.1"
"Bachelor's degree","17.7%","±0.1","17.7%","±0.1","17.8%","±0.1"
"Graduate or professional degree","10.4%","±0.1","10.8%","±0.1","10.1%","±0.1"
"Percent high school graduate or higher","85.6%","±0.1","84.8%","±0.1","86.3%","±0.1"
"Percent bachelor's degree or higher","28.2%","±0.1","28.5%","±0.1","27.9%","±0.1"
"Population 25 to 34 years","40,972,083","±42,185","20,553,204","±27,821","20,418,879","±26,568"
"High school graduate or higher","87.2%","±0.1","85.2%","±0.2","89.2%","±0.1"
"Bachelor's degree or higher","31.1%","±0.2","27.1%","±0.2","35.0%","±0.2"
"Population 35 to 44 years","41,192,328","±30,977","20,494,598","±23,430","20,697,730","±17,567"
"High school graduate or higher","87.4%","±0.1","85.9%","±0.1","88.8%","±0.1"
"Bachelor's degree or higher","31.3%","±0.1","29.2%","±0.2","33.3%","±0.2"
"Population 45 to 64 years","81,690,997","±44,211","39,823,398","±27,099","41,867,599","±22,976"
"High school graduate or higher","87.7%","±0.1","86.8%","±0.1","88.6%","±0.1"
"Bachelor's degree or higher","28.6%","±0.1","29.3%","±0.1","27.9%","±0.1"
"Population 65 years and over","40,433,525","±19,526","17,433,645","±10,862","22,999,880","±13,663"
"High school graduate or higher","77.9%","±0.1","78.9%","±0.1","77.1%","±0.1"
"Bachelor's degree or higher","21.3%","±0.1","27.4%","±0.1","16.8%","±0.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","",""
"    Less than high school graduate","26.7%","±0.2","23.2%","±0.2","30.3%","±0.2"
"    High school graduate (includes equivalency)","13.5%","±0.1","11.8%","±0.1","15.1%","±0.1"
"    Some college or associate's degree","9.8%","±0.1","7.9%","±0.1","11.4%","±0.1"
"    Bachelor's degree or higher","4.2%","±0.1","3.8%","±0.1","4.6%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Population 25 years and over with earnings","33,298","±97","40,135","±57","28,429","±94"
"    Less than high school graduate","18,413","±103","21,387","±86","14,470","±110"
"    High school graduate (includes equivalency)","26,349","±56","31,376","±64","21,427","±64"
"    Some college or associate's degree","31,928","±45","39,925","±189","27,062","±74"
"    Bachelor's degree","47,422","±123","57,815","±440","40,393","±96"
"    Graduate or professional degree","62,618","±309","79,962","±605","52,866","±275"
"PERCENT IMPUTED","","","","","",""
"    Educational attainment","4.8%","(X)","(X)","(X)","(X)","(X)"
