"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error"
"Population 18 to 24 years","31,472,132","±36,852","16,112,072","±20,882","15,360,060","±25,096"
"Less than high school graduate","14.8%","±0.1","17.0%","±0.2","12.5%","±0.1"
"High school graduate (includes equivalency)","29.5%","±0.1","32.5%","±0.2","26.3%","±0.2"
"Some college or associate's degree","46.3%","±0.2","42.9%","±0.2","49.8%","±0.2"
"Bachelor's degree or higher","9.4%","±0.1","7.6%","±0.1","11.4%","±0.1"
"Population 25 years and over","208,731,498","±63,262","100,629,702","±35,460","108,101,796","±33,251"
"Less than 9th grade","5.8%","±0.1","5.9%","±0.1","5.6%","±0.1"
"9th to 12th grade, no diploma","7.9%","±0.1","8.4%","±0.1","7.4%","±0.1"
"High school graduate (includes equivalency)","28.0%","±0.1","28.6%","±0.1","27.5%","±0.1"
"Some college, no degree","21.3%","±0.1","20.9%","±0.1","21.6%","±0.1"
"Associate's degree","8.0%","±0.1","7.1%","±0.1","8.8%","±0.1"
"Bachelor's degree","18.2%","±0.1","18.0%","±0.1","18.3%","±0.1"
"Graduate or professional degree","10.9%","±0.1","11.1%","±0.1","10.7%","±0.1"
"Percent high school graduate or higher","86.4%","±0.1","85.7%","±0.1","87.0%","±0.1"
"Percent bachelor's degree or higher","29.1%","±0.1","29.1%","±0.1","29.1%","±0.1"
"Population 25 to 34 years","42,100,846","±29,972","21,211,940","±20,904","20,888,906","±18,359"
"High school graduate or higher","88.4%","±0.1","86.6%","±0.1","90.1%","±0.1"
"Bachelor's degree or higher","32.2%","±0.1","28.2%","±0.2","36.3%","±0.2"
"Population 35 to 44 years","40,698,086","±29,156","20,268,103","±18,325","20,429,983","±20,636"
"High school graduate or higher","87.7%","±0.1","86.2%","±0.1","89.1%","±0.1"
"Bachelor's degree or higher","32.6%","±0.1","30.1%","±0.2","35.0%","±0.2"
"Population 45 to 64 years","82,792,089","±39,577","40,344,396","±24,779","42,447,693","±21,522"
"High school graduate or higher","88.0%","±0.1","87.0%","±0.1","88.9%","±0.1"
"Bachelor's degree or higher","28.9%","±0.1","29.0%","±0.1","28.8%","±0.1"
"Population 65 years and over","43,140,477","±16,604","18,805,263","±8,996","24,335,214","±11,229"
"High school graduate or higher","80.0%","±0.1","81.1%","±0.1","79.1%","±0.1"
"Bachelor's degree or higher","23.2%","±0.1","29.3%","±0.1","18.5%","±0.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","",""
"    Less than high school graduate","28.0%","±0.2","24.2%","±0.2","31.9%","±0.2"
"    High school graduate (includes equivalency)","14.3%","±0.1","12.4%","±0.1","16.2%","±0.1"
"    Some college or associate's degree","10.8%","±0.1","8.6%","±0.1","12.6%","±0.1"
"    Bachelor's degree or higher","4.5%","±0.1","4.0%","±0.1","4.9%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Population 25 years and over with earnings","35,160","±43","41,054","±49","29,703","±78"
"    Less than high school graduate","19,404","±99","22,216","±90","14,867","±137"
"    High school graduate (includes equivalency)","27,024","±53","32,009","±55","21,759","±59"
"    Some college or associate's degree","32,401","±45","40,628","±78","27,311","±58"
"    Bachelor's degree","49,157","±204","60,317","±130","40,733","±90"
"    Graduate or professional degree","65,164","±175","81,505","±224","54,390","±247"
"PERCENT IMPUTED","","","","","",""
"    Educational attainment","5.1%","(X)","(X)","(X)","(X)","(X)"
