"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error"
"Population 18 to 24 years","31,209,548","±43,704","15,994,990","±22,624","15,214,558","±28,633"
"Less than high school graduate","15.9%","±0.1","18.4%","±0.2","13.2%","±0.1"
"High school graduate (includes equivalency)","29.4%","±0.2","32.1%","±0.2","26.6%","±0.2"
"Some college or associate's degree","45.6%","±0.2","42.1%","±0.2","49.2%","±0.3"
"Bachelor's degree or higher","9.1%","±0.1","7.4%","±0.1","11.0%","±0.2"
"Population 25 years and over","206,471,670","±68,523","99,453,188","±36,076","107,018,482","±40,197"
"Less than 9th grade","6.0%","±0.1","6.2%","±0.1","5.8%","±0.1"
"9th to 12th grade, no diploma","8.1%","±0.1","8.6%","±0.1","7.7%","±0.1"
"High school graduate (includes equivalency)","28.4%","±0.1","28.8%","±0.1","28.0%","±0.1"
"Some college, no degree","21.2%","±0.1","20.8%","±0.1","21.6%","±0.1"
"Associate's degree","7.8%","±0.1","6.9%","±0.1","8.6%","±0.1"
"Bachelor's degree","17.9%","±0.1","17.8%","±0.1","18.0%","±0.1"
"Graduate or professional degree","10.6%","±0.1","11.0%","±0.1","10.4%","±0.1"
"Percent high school graduate or higher","85.9%","±0.1","85.2%","±0.1","86.5%","±0.1"
"Percent bachelor's degree or higher","28.5%","±0.1","28.7%","±0.1","28.3%","±0.1"
"Population 25 to 34 years","41,540,346","±31,959","20,892,342","±20,191","20,648,004","±22,463"
"High school graduate or higher","87.9%","±0.1","86.1%","±0.1","89.6%","±0.1"
"Bachelor's degree or higher","31.5%","±0.2","27.6%","±0.2","35.5%","±0.2"
"Population 35 to 44 years","40,827,710","±28,310","20,308,235","±21,030","20,519,475","±19,089"
"High school graduate or higher","87.4%","±0.1","85.8%","±0.1","88.9%","±0.1"
"Bachelor's degree or higher","31.9%","±0.2","29.7%","±0.2","34.1%","±0.2"
"Population 45 to 64 years","82,718,588","±45,319","40,336,365","±28,269","42,382,223","±26,294"
"High school graduate or higher","87.8%","±0.1","86.9%","±0.1","88.7%","±0.1"
"Bachelor's degree or higher","28.6%","±0.1","29.1%","±0.1","28.1%","±0.1"
"Population 65 years and over","41,385,026","±20,340","17,916,246","±11,114","23,468,780","±12,957"
"High school graduate or higher","78.7%","±0.1","79.6%","±0.1","78.0%","±0.1"
"Bachelor's degree or higher","22.1%","±0.1","28.2%","±0.1","17.4%","±0.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","",""
"    Less than high school graduate","27.9%","±0.2","24.0%","±0.2","31.7%","±0.2"
"    High school graduate (includes equivalency)","14.2%","±0.1","12.3%","±0.1","15.9%","±0.1"
"    Some college or associate's degree","10.5%","±0.1","8.4%","±0.1","12.3%","±0.1"
"    Bachelor's degree or higher","4.4%","±0.1","4.0%","±0.1","4.8%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Population 25 years and over with earnings","34,334","±85","40,514","±55","29,132","±93"
"    Less than high school graduate","18,794","±102","21,840","±98","14,623","±139"
"    High school graduate (includes equivalency)","26,699","±65","31,730","±72","21,682","±71"
"    Some college or associate's degree","32,321","±48","40,248","±86","27,330","±83"
"    Bachelor's degree","48,309","±199","59,459","±455","40,645","±96"
"    Graduate or professional degree","64,322","±330","80,917","±240","54,115","±262"
"PERCENT IMPUTED","","","","","",""
"    Educational attainment","4.7%","(X)","(X)","(X)","(X)","(X)"
